Song,Quadrant
A002,Q4
A014,Q1
A020,Q2
A022,Q1
A024,Q1
A030,Q4
A032,Q4
A034,Q3
A035,Q3
A038,Q3
A045,Q3
A047,Q1
A048,Q3
A058,Q4
A060,Q3
A061-66,Q3
A063-90,Q4
A066-140,Q4
A067-104,Q4
A068-167,Q2
A071-70,Q3
A073-143,Q3
A078-173,Q4
A081-67,Q3
A082-93,Q2
A083-158,Q3
A084-75,Q3
A085-69,Q3
A088-136,Q4
A090-94,Q2
A091-95,Q2
A092-96,Q1
A095-113,Q1
A096-68,Q3
A097-152,Q3
A098-154,Q4
A100-124,Q1
A101-111,Q1
A102-114,Q1
A104-119,Q1
A105-117,Q1
A106-100,Q3
A107-115,Q1
A109-138,Q4
A111-141,Q4
A114-120,Q1
A115-84,Q1
A116-135,Q2
A117-76,Q3
A119-151,Q4
A120-168,Q4
A126-77,Q3
A128-109,Q1
A130-162,Q3
A131-101,Q2
A132-121,Q1
A134-142,Q4
A140-166,Q2
A141-139,Q4
A143-72,Q3
A147-169,Q2
A148-102,Q1
A152-108,Q1
A157-71,Q3
A159-164,Q2
A160-149,Q1
A162,Q1
A165,Q4
A166,Q1
A167,Q1
A168,Q4
A170,Q3
A171,Q3
A178,Q4
A179,Q4
A186,Q4
A187,Q1
A188,Q3
A190,Q4
A191,Q3
A192,Q4
A195,Q3
A196,Q1
A198,Q4
MT0000011357,Q2
MT0000026571,Q4
MT0000030834,Q4
MT0000038502,Q2
MT0000048600,Q4
MT0000063684,Q4
MT0000080053,Q1
MT0000089410,Q4
MT0000097948,Q4
MT0000117176,Q4
MT0000135916,Q4
MT0000144160,Q4
MT0000145509,Q2
MT0000147182,Q4
MT0000162219,Q3
MT0000169174,Q2
MT0000169836,Q2
MT0000171421,Q3
MT0000174580,Q1
MT0000186467,Q2
MT0000190640,Q2
MT0000197431,Q1
MT0000231442,Q2
MT0000258223,Q4
MT0000271454,Q1
MT0000271970,Q2
MT0000283043,Q2
MT0000287921,Q2
MT0000289116,Q3
MT0000292000,Q4
MT0000312152,Q3
MT0000318279,Q4
MT0000321394,Q2
MT0000369188,Q1
MT0000370694,Q4
MT0000380307,Q4
MT0000380971,Q3
MT0000408441,Q3
MT0000425270,Q2
MT0000447539,Q4
MT0000481304,Q4
MT0000487439,Q3
MT0000523576,Q4
MT0000547065,Q3
MT0000549945,Q4
MT0000553622,Q3
MT0000567692,Q3
MT0000619767,Q3
MT0000638424,Q4
MT0000643201,Q3
MT0000647818,Q4
MT0000666429,Q2
MT0000672880,Q1
MT0000685538,Q3
MT0000685552,Q3
MT0000694316,Q2
MT0000704913,Q1
MT0000712071,Q1
MT0000720686,Q3
MT0000723464,Q4
MT0000724357,Q2
MT0000727738,Q3
MT0000735056,Q2
MT0000741489,Q2
MT0000763275,Q3
MT0000776108,Q3
MT0000778102,Q2
MT0000780401,Q3
MT0000807741,Q1
MT0000808227,Q2
MT0000811092,Q4
MT0000811743,Q3
MT0000829765,Q3
MT0000850957,Q2
MT0000854722,Q1
MT0000863543,Q1
MT0000871290,Q1
MT0000886390,Q1
MT0000892306,Q2
MT0000895003,Q2
MT0000900387,Q2
MT0000900995,Q4
MT0000906888,Q4
MT0000910270,Q2
MT0000931402,Q3
MT0000934613,Q2
MT0000948111,Q1
MT0000984023,Q2
MT0001016068,Q3
MT0001030436,Q3
MT0001095298,Q3
MT0001102610,Q3
MT0001115644,Q3
MT0001116511,Q2
MT0001117815,Q1
MT0001134958,Q3
MT0001152165,Q4
MT0001152664,Q3
MT0001157069,Q3
MT0001169715,Q1
MT0001227219,Q4
MT0001230193,Q2
MT0001266436,Q3
MT0001276044,Q2
MT0001284801,Q3
MT0001287647,Q2
MT0001292451,Q1
MT0001301827,Q4
MT0001309422,Q3
MT0001318718,Q1
MT0001332899,Q3
MT0001347462,Q4
MT0001356476,Q1
MT0001356637,Q3
MT0001362313,Q3
MT0001370627,Q4
MT0001376988,Q2
MT0001377742,Q2
MT0001380360,Q2
MT0001395462,Q3
MT0001397431,Q2
MT0001435061,Q3
MT0001473110,Q2
MT0001477169,Q4
MT0001486960,Q1
MT0001509368,Q1
MT0001510617,Q2
MT0001514284,Q1
MT0001515028,Q4
MT0001526514,Q1
MT0001528638,Q4
MT0001542457,Q2
MT0001547111,Q3
MT0001553573,Q2
MT0001554870,Q2
MT0001566152,Q3
MT0001578777,Q2
MT0001590644,Q2
MT0001610102,Q1
MT0001613887,Q2
MT0001642019,Q2
MT0001644811,Q4
MT0001658982,Q3
MT0001671399,Q1
MT0001699798,Q4
MT0001710592,Q2
MT0001741017,Q1
MT0001795697,Q1
MT0001801454,Q2
MT0001839466,Q3
MT0001841416,Q3
MT0001899447,Q3
MT0001899867,Q1
MT0001920501,Q3
MT0001927015,Q1
MT0001927921,Q2
MT0001929641,Q3
MT0001934410,Q2
MT0001949173,Q4
MT0001962373,Q2
MT0001963447,Q2
MT0001974130,Q2
MT0001988811,Q3
MT0001993588,Q2
MT0002024101,Q2
MT0002052101,Q1
MT0002068648,Q1
MT0002078701,Q1
MT0002087541,Q3
MT0002113056,Q1
MT0002131125,Q2
MT0002139311,Q1
MT0002193996,Q4
MT0002216668,Q4
MT0002250135,Q3
MT0002272314,Q2
MT0002291660,Q2
MT0002294387,Q1
MT0002307435,Q3
MT0002336535,Q3
MT0002337555,Q2
MT0002343207,Q1
MT0002347246,Q1
MT0002360219,Q1
MT0002379942,Q2
MT0002396250,Q2
MT0002399275,Q2
MT0002460914,Q2
MT0002472723,Q1
MT0002515172,Q4
MT0002541988,Q4
MT0002549047,Q3
MT0002549944,Q2
MT0002580064,Q3
MT0002619035,Q4
MT0002638821,Q4
MT0002659854,Q4
MT0002698706,Q1
MT0002700026,Q1
MT0002701422,Q2
MT0002711792,Q2
MT0002716927,Q4
MT0002739845,Q2
MT0002771537,Q3
MT0002784741,Q3
MT0002859848,Q4
MT0002889321,Q2
MT0002894033,Q1
MT0002905185,Q3
MT0002907679,Q1
MT0002909109,Q1
MT0002928993,Q3
MT0002939380,Q2
MT0002949712,Q2
MT0002954708,Q2
MT0002969144,Q4
MT0002980543,Q4
MT0002986568,Q3
MT0002999366,Q1
MT0003008724,Q2
MT0003012633,Q4
MT0003019852,Q2
MT0003025883,Q4
MT0003037754,Q3
MT0003085195,Q2
MT0003094118,Q2
MT0003102331,Q4
MT0003131369,Q1
MT0003148189,Q4
MT0003213617,Q4
MT0003216840,Q1
MT0003228768,Q4
MT0003237550,Q2
MT0003274067,Q3
MT0003286463,Q1
MT0003294608,Q2
MT0003304271,Q4
MT0003329820,Q1
MT0003337396,Q2
MT0003353794,Q3
MT0003362617,Q3
MT0003389088,Q4
MT0003402178,Q4
MT0003428477,Q4
MT0003435704,Q3
MT0003444822,Q2
MT0003473344,Q4
MT0003496132,Q2
MT0003517837,Q4
MT0003539442,Q2
MT0003587042,Q2
MT0003597979,Q4
MT0003603772,Q1
MT0003617309,Q1
MT0003629164,Q4
MT0003659365,Q2
MT0003669917,Q1
MT0003740052,Q4
MT0003748227,Q3
MT0003762220,Q4
MT0003782002,Q2
MT0003792475,Q3
MT0003795778,Q1
MT0003796752,Q1
MT0003821577,Q2
MT0003859252,Q2
MT0003861331,Q4
MT0003868390,Q4
MT0003869539,Q1
MT0003880691,Q2
MT0003881997,Q2
MT0003903675,Q1
MT0003906833,Q1
MT0003907045,Q3
MT0003909053,Q3
MT0003934644,Q1
MT0003935299,Q4
MT0003979876,Q2
MT0004001989,Q1
MT0004033010,Q1
MT0004072079,Q2
MT0004073991,Q2
MT0004085907,Q2
MT0004117319,Q3
MT0004131260,Q3
MT0004137658,Q2
MT0004194402,Q3
MT0004212108,Q3
MT0004232099,Q3
MT0004290389,Q3
MT0004306521,Q4
MT0004337195,Q1
MT0004352726,Q4
MT0004395306,Q4
MT0004422924,Q1
MT0004425744,Q1
MT0004447086,Q2
MT0004497478,Q2
MT0004500770,Q3
MT0004511265,Q2
MT0004525980,Q4
MT0004540242,Q4
MT0004542745,Q4
MT0004550434,Q2
MT0004645468,Q2
MT0004725405,Q1
MT0004739956,Q2
MT0004754115,Q4
MT0004758223,Q4
MT0004759588,Q2
MT0004781165,Q3
MT0004798504,Q2
MT0004829377,Q3
MT0004840819,Q3
MT0004866559,Q2
MT0004869271,Q3
MT0004872217,Q2
MT0004882280,Q2
MT0004883551,Q1
MT0004948855,Q2
MT0005026798,Q2
MT0005029328,Q2
MT0005039941,Q2
MT0005094727,Q3
MT0005111463,Q3
MT0005113916,Q4
MT0005134466,Q3
MT0005157804,Q4
MT0005171537,Q2
MT0005202791,Q2
MT0005241699,Q1
MT0005253065,Q3
MT0005286165,Q2
MT0005331755,Q1
MT0005379911,Q3
MT0005411969,Q2
MT0005422349,Q4
MT0005425879,Q4
MT0005426130,Q1
MT0005443513,Q4
MT0005486154,Q3
MT0005519111,Q4
MT0005523766,Q1
MT0005540023,Q2
MT0005540907,Q1
MT0005556630,Q4
MT0005568749,Q3
MT0005630273,Q3
MT0005655655,Q3
MT0005660001,Q1
MT0005666606,Q1
MT0005707044,Q4
MT0005715379,Q4
MT0005715715,Q1
MT0005725657,Q2
MT0005751512,Q2
MT0005760259,Q2
MT0005774267,Q2
MT0005802574,Q1
MT0005804191,Q4
MT0005974256,Q2
MT0006001707,Q2
MT0006022752,Q3
MT0006114773,Q1
MT0006129774,Q4
MT0006137372,Q3
MT0006157839,Q2
MT0006181559,Q4
MT0006348382,Q4
MT0006356406,Q2
MT0006365604,Q2
MT0006406298,Q1
MT0006417602,Q3
MT0006421356,Q3
MT0006431807,Q1
MT0006475078,Q4
MT0006475970,Q1
MT0006484633,Q2
MT0006510599,Q2
MT0006528309,Q1
MT0006531857,Q2
MT0006553914,Q2
MT0006573563,Q2
MT0006587635,Q2
MT0006587819,Q4
MT0006633147,Q1
MT0006641042,Q2
MT0006654122,Q3
MT0006683265,Q2
MT0006683875,Q1
MT0006708402,Q3
MT0006737689,Q2
MT0006751087,Q2
MT0006761058,Q4
MT0006761971,Q2
MT0006784451,Q2
MT0006788512,Q2
MT0006790347,Q2
MT0006798861,Q2
MT0006813360,Q3
MT0006832360,Q2
MT0006839715,Q4
MT0006843007,Q1
MT0006876450,Q3
MT0006879985,Q2
MT0006880936,Q3
MT0006937715,Q1
MT0006991912,Q4
MT0007039082,Q4
MT0007051188,Q4
MT0007058512,Q2
MT0007071481,Q2
MT0007072992,Q4
MT0007074655,Q2
MT0007081433,Q4
MT0007102148,Q3
MT0007102997,Q4
MT0007109938,Q2
MT0007142175,Q4
MT0007164275,Q2
MT0007190016,Q1
MT0007269020,Q2
MT0007276457,Q3
MT0007280044,Q3
MT0007337206,Q2
MT0007340697,Q2
MT0007349422,Q2
MT0007350911,Q1
MT0007353661,Q4
MT0007356476,Q4
MT0007393408,Q2
MT0007413949,Q2
MT0007419064,Q1
MT0007423667,Q2
MT0007438571,Q3
MT0007442223,Q2
MT0007453719,Q4
MT0007627521,Q2
MT0007645808,Q2
MT0007663424,Q2
MT0007696006,Q2
MT0007780572,Q2
MT0007795217,Q1
MT0007818252,Q2
MT0007866540,Q2
MT0007868583,Q1
MT0007924549,Q2
MT0007959122,Q2
MT0007961100,Q2
MT0007991638,Q2
MT0008045785,Q2
MT0008077878,Q2
MT0008130158,Q2
MT0008131425,Q1
MT0008149831,Q2
MT0008166431,Q1
MT0008184180,Q2
MT0008236217,Q1
MT0008237717,Q1
MT0008296972,Q3
MT0008307905,Q2
MT0008308461,Q1
MT0008313843,Q1
MT0008361425,Q2
MT0008371251,Q1
MT0008394478,Q1
MT0008421113,Q2
MT0008421900,Q4
MT0008425062,Q2
MT0008431795,Q1
MT0008530652,Q4
MT0008537015,Q1
MT0008565530,Q2
MT0008573252,Q2
MT0008578405,Q2
MT0008596505,Q4
MT0008596537,Q2
MT0008602863,Q2
MT0008604277,Q3
MT0008632122,Q1
MT0008635124,Q2
MT0008641724,Q2
MT0008649724,Q2
MT0008652185,Q2
MT0008672387,Q1
MT0008673460,Q1
MT0008684978,Q1
MT0008709705,Q3
MT0008790106,Q4
MT0008790360,Q2
MT0008791082,Q2
MT0008794071,Q4
MT0008800327,Q2
MT0008813307,Q3
MT0008819987,Q4
MT0008999728,Q2
MT0009025845,Q3
MT0009041370,Q2
MT0009054976,Q4
MT0009112823,Q4
MT0009123251,Q2
MT0009164591,Q3
MT0009164605,Q1
MT0009172291,Q2
MT0009253379,Q1
MT0009312856,Q3
MT0009319587,Q2
MT0009320357,Q2
MT0009321428,Q3
MT0009375581,Q4
MT0009425259,Q2
MT0009430339,Q2
MT0009495283,Q3
MT0009495285,Q3
MT0009577134,Q2
MT0009693151,Q3
MT0009741760,Q4
MT0009868354,Q4
MT0009996318,Q3
MT0010007878,Q3
MT0010007881,Q3
MT0010049476,Q4
MT0010054305,Q3
MT0010083757,Q4
MT0010100278,Q1
MT0010100283,Q3
MT0010100285,Q1
MT0010100333,Q1
MT0010169019,Q1
MT0010236541,Q1
MT0010257371,Q3
MT0010261584,Q4
MT0010310891,Q2
MT0010379209,Q4
MT0010444469,Q4
MT0010481194,Q2
MT0010482550,Q1
MT0010485559,Q2
MT0010506192,Q3
MT0010510852,Q1
MT0010524453,Q1
MT0010552303,Q1
MT0010620026,Q2
MT0010676114,Q1
MT0010695865,Q3
MT0010705334,Q1
MT0010706869,Q1
MT0010723658,Q3
MT0010736281,Q2
MT0010755212,Q1
MT0010815151,Q3
MT0010849747,Q2
MT0010850805,Q3
MT0010857270,Q2
MT0010862394,Q3
MT0010894865,Q2
MT0010922381,Q2
MT0010967419,Q4
MT0010983830,Q2
MT0011069243,Q3
MT0011083648,Q2
MT0011204639,Q1
MT0011292112,Q4
MT0011308097,Q3
MT0011332604,Q4
MT0011369407,Q2
MT0011374342,Q4
MT0011391356,Q2
MT0011403548,Q4
MT0011411969,Q2
MT0011448773,Q1
MT0011451296,Q1
MT0011510700,Q1
MT0011659985,Q4
MT0011707340,Q2
MT0011711878,Q4
MT0011712337,Q2
MT0011716005,Q1
MT0011767762,Q1
MT0011809659,Q4
MT0011847514,Q1
MT0011870505,Q3
MT0011878109,Q1
MT0011886864,Q3
MT0011894681,Q3
MT0011895910,Q1
MT0011896804,Q4
MT0011908274,Q4
MT0011914836,Q1
MT0011924283,Q1
MT0011929096,Q4
MT0011937155,Q2
MT0011943335,Q2
MT0011959819,Q2
MT0011991382,Q2
MT0012001684,Q1
MT0012004909,Q3
MT0012004929,Q1
MT0012009054,Q2
MT0012011991,Q4
MT0012013969,Q3
MT0012016955,Q1
MT0012100576,Q2
MT0012122028,Q2
MT0012159808,Q4
MT0012330276,Q4
MT0012455611,Q1
MT0012505137,Q4
MT0012619690,Q1
MT0012634038,Q3
MT0012637285,Q3
MT0012649676,Q2
MT0012666474,Q3
MT0012698055,Q4
MT0012740185,Q4
MT0012773883,Q4
MT0012777233,Q1
MT0012865192,Q2
MT0012900592,Q2
MT0012909507,Q2
MT0012933678,Q1
MT0013056830,Q4
MT0013058008,Q2
MT0013064857,Q1
MT0013070871,Q3
MT0013101577,Q1
MT0013104929,Q1
MT0013115311,Q4
MT0013193016,Q4
MT0013209458,Q3
MT0013216725,Q2
MT0013228223,Q4
MT0013305827,Q4
MT0013328261,Q3
MT0013349760,Q3
MT0013416300,Q3
MT0013464231,Q1
MT0013524535,Q2
MT0013583287,Q1
MT0013590244,Q1
MT0013637631,Q1
MT0013658337,Q1
MT0013693326,Q4
MT0013743441,Q2
MT0013746403,Q3
MT0013758625,Q1
MT0013764945,Q3
MT0013809208,Q1
MT0013833732,Q4
MT0013868618,Q3
MT0013900095,Q1
MT0013979875,Q2
MT0014005525,Q1
MT0014215479,Q4
MT0014553172,Q4
MT0014555701,Q1
MT0014615863,Q2
MT0014619583,Q1
MT0014650353,Q4
MT0014665693,Q3
MT0014724547,Q4
MT0014752461,Q4
MT0014756127,Q2
MT0014781093,Q1
MT0014838459,Q2
MT0014936205,Q3
MT0014936656,Q4
MT0014964772,Q2
MT0015139461,Q3
MT0015471594,Q4
MT0015494518,Q2
MT0015506741,Q4
MT0015541501,Q2
MT0015546206,Q1
MT0015760726,Q4
MT0015940634,Q2
MT0015950558,Q2
MT0015962332,Q2
MT0016743722,Q2
MT0016913402,Q3
MT0016915093,Q2
MT0016933152,Q3
MT0016976154,Q3
MT0017031590,Q1
MT0017475710,Q2
MT0017657810,Q1
MT0018044514,Q3
MT0018288135,Q2
MT0018669856,Q2
MT0019352491,Q4
MT0026236933,Q3
MT0026330298,Q3
MT0026697228,Q3
MT0026712161,Q4
MT0026903849,Q2
MT0026933516,Q1
MT0026963572,Q2
MT0026987140,Q2
MT0027023212,Q4
MT0027032503,Q2
MT0027053023,Q1
MT0027075208,Q2
MT0027112893,Q1
MT0027859587,Q4
MT0028116568,Q4
MT0028228337,Q4
MT0028338292,Q3
MT0028348785,Q2
MT0028445777,Q1
MT0028452849,Q1
MT0028471202,Q2
MT0028498801,Q4
MT0028609181,Q4
MT0028615001,Q1
MT0028691865,Q3
MT0028694655,Q4
MT0028752173,Q4
MT0028753982,Q4
MT0028754256,Q2
MT0028813190,Q2
MT0028888763,Q3
MT0028942506,Q4
MT0029091265,Q4
MT0029772184,Q2
MT0029861029,Q3
MT0030074137,Q3
MT0030097602,Q4
MT0030177407,Q2
MT0030184605,Q2
MT0030203700,Q3
MT0030212531,Q4
MT0030233759,Q2
MT0030247926,Q3
MT0030289937,Q3
MT0030362174,Q4
MT0030407300,Q1
MT0030489320,Q2
MT0031049140,Q3
MT0031375281,Q4
MT0031548988,Q1
MT0031574394,Q1
MT0031626819,Q4
MT0031661393,Q2
MT0031664726,Q1
MT0031733848,Q4
MT0031826295,Q4
MT0031834881,Q1
MT0031841471,Q3
MT0031861483,Q2
MT0031868141,Q1
MT0031875986,Q2
MT0031893087,Q4
MT0031917087,Q1
MT0031919561,Q2
MT0031924755,Q2
MT0031925901,Q2
MT0031979912,Q1
MT0032060949,Q4
MT0032061091,Q1
MT0032093528,Q4
MT0032628164,Q4
MT0032643023,Q3
MT0032651589,Q2
MT0032673223,Q1
MT0032701682,Q1
MT0032757175,Q3
MT0032768117,Q4
MT0032768122,Q1
MT0033159895,Q3
