Song,Quadrant
L001-141,Q4
L002-157,Q3
L004-120,Q1
L005-84,Q1
L007-76,Q3
L008-146,Q3
L009-151,Q4
L010-168,Q4
L011-156,Q4
L012-81,Q1
L013-159,Q3
L014-137,Q4
L017-133,Q2
L018-109,Q1
L022-121,Q1
L024-142,Q4
L026-97,Q2
L027-153,Q4
L028-150,Q3
L030-166,Q2
L031-139,Q4
L032-98,Q2
L033-72,Q3
L034-79,Q3
L035-134,Q4
L038-102,Q1
L041-172,Q2
L042-108,Q1
L043-130,Q1
L044-107,Q1
L045-145,Q1
L046-147,Q3
L047-71,Q3
L048-163,Q3
L050-149,Q1
L051,Q4
L052,Q4
L060,Q2
L061,Q1
L063,Q2
L064,Q1
L067,Q4
L069,Q1
L071,Q4
L072,Q1
L073,Q2
L074,Q1
L075,Q2
L078,Q2
L079,Q3
L083,Q4
L084,Q3
L085,Q3
L087,Q4
L089,Q1
L090,Q1
L091,Q4
L093,Q1
L095,Q3
L096,Q3
L097,Q1
L098,Q3
L100,Q1
L103,Q4
L104,Q3
L107,Q1
L108,Q4
L109,Q3
L110,Q3
L111-66,Q3
L112-170,Q2
L113-90,Q4
L114-116,Q1
L115-161,Q3
L117-104,Q4
L118-167,Q2
L123-143,Q3
L124-91,Q2
L126-83,Q4
L127-122,Q1
L128-173,Q4
L131-67,Q3
L133-158,Q3
L134-75,Q3
L135-69,Q3
L136-123,Q1
L138-136,Q4
L140-94,Q2
L142-96,Q1
L144-110,Q1
L146-68,Q3
L147-152,Q3
L148-154,Q4
L149-106,Q3
L150-124,Q1
L151-111,Q1
L152-114,Q1
L153-99,Q2
L155-117,Q1
L156-100,Q3
L157-115,Q1
L159-138,Q4
L160-155,Q1
L161,Q4
L162,Q1
L166,Q1
L167,Q1
L168,Q4
L170,Q3
L172,Q2
L174,Q2
L175,Q3
L176,Q2
L177,Q2
L178,Q4
L179,Q4
L181,Q3
L182,Q2
L183,Q2
L184,Q3
L186,Q4
L187,Q1
L190,Q4
L194,Q2
L195,Q3
L196,Q1
L198,Q4
L199,Q3
L200,Q3
MT0000017389,Q3
MT0000024499,Q3
MT0000026571,Q4
MT0000030834,Q4
MT0000034999,Q3
MT0000038502,Q2
MT0000048600,Q4
MT0000086428,Q3
MT0000089238,Q2
MT0000089410,Q4
MT0000093583,Q1
MT0000097948,Q4
MT0000111068,Q3
MT0000117176,Q4
MT0000135916,Q4
MT0000139242,Q1
MT0000144160,Q4
MT0000145509,Q2
MT0000147182,Q4
MT0000153361,Q3
MT0000162219,Q3
MT0000169174,Q2
MT0000174580,Q1
MT0000186467,Q2
MT0000190640,Q2
MT0000191766,Q1
MT0000231442,Q2
MT0000258223,Q4
MT0000258646,Q2
MT0000267636,Q3
MT0000268701,Q4
MT0000270200,Q2
MT0000271454,Q1
MT0000283043,Q2
MT0000287921,Q2
MT0000289116,Q3
MT0000292000,Q4
MT0000312152,Q3
MT0000321394,Q2
MT0000326433,Q3
MT0000360851,Q3
MT0000369188,Q1
MT0000370694,Q4
MT0000380307,Q4
MT0000408441,Q3
MT0000447281,Q3
MT0000447539,Q4
MT0000481304,Q4
MT0000487439,Q3
MT0000489470,Q4
MT0000495842,Q4
MT0000547065,Q3
MT0000549945,Q4
MT0000552259,Q3
MT0000553622,Q3
MT0000567692,Q3
MT0000592222,Q3
MT0000619767,Q3
MT0000638424,Q4
MT0000643201,Q3
MT0000667625,Q1
MT0000672880,Q1
MT0000685538,Q3
MT0000685552,Q3
MT0000690637,Q1
MT0000704913,Q1
MT0000712071,Q1
MT0000723464,Q4
MT0000727738,Q3
MT0000728975,Q3
MT0000735056,Q2
MT0000737118,Q1
MT0000740862,Q4
MT0000741489,Q2
MT0000776108,Q3
MT0000778102,Q2
MT0000780401,Q3
MT0000787002,Q3
MT0000808227,Q2
MT0000811092,Q4
MT0000811743,Q3
MT0000814289,Q3
MT0000814565,Q3
MT0000847731,Q3
MT0000854722,Q1
MT0000863543,Q1
MT0000871290,Q1
MT0000874328,Q1
MT0000878275,Q4
MT0000892306,Q2
MT0000895003,Q2
MT0000900387,Q2
MT0000906888,Q4
MT0000921193,Q3
MT0000927561,Q2
MT0000931402,Q3
MT0000938758,Q4
MT0000948111,Q1
MT0000968326,Q1
MT0000971800,Q1
MT0000983092,Q3
MT0000984023,Q2
