Song,Quadrant
MT0005575348,Q3
MT0008368311,Q3
MT0000603561,Q3
MT0005912220,Q3
MT0003189890,Q3
MT0008241153,Q3
MT0010710874,Q3
MT0003320924,Q3
MT0010823031,Q3
MT0008960612,Q3
MT0034410340,Q3
MT0007106784,Q3
MT0012658386,Q3
MT0006036535,Q3
MT0005294278,Q3
MT0001331047,Q3
MT0033345959,Q3
MT0004842694,Q3
MT0000008995,Q3
MT0005621435,Q3
MT0015465230,Q3
MT0007860263,Q3
MT0002915967,Q3
MT0002006203,Q3
MT0007728545,Q3
MT0003974181,Q3
MT0007797719,Q3
MT0005727783,Q3
MT0002604697,Q3
MT0006492385,Q3
MT0000171852,Q3
MT0002007417,Q3
MT0008899266,Q3
MT0012823048,Q3
MT0010630017,Q3
MT0003109823,Q3
MT0000850050,Q3
MT0003328491,Q3
MT0011162069,Q3
MT0035974819,Q3
MT0001230298,Q3
MT0026378461,Q3
MT0005030845,Q3
MT0015883602,Q3
MT0008138963,Q3
MT0000192913,Q3
MT0003504525,Q3
MT0004397754,Q3
MT0004548391,Q3
MT0004798790,Q3
MT0009008051,Q3
MT0014798420,Q3
MT0028593700,Q3
MT0015715008,Q3
MT0004440606,Q3
MT0004625127,Q3
MT0010674859,Q3
MT0030504803,Q3
MT0002277261,Q3
MT0006833696,Q3
MT0002057142,Q3
MT0010468178,Q3
MT0019766193,Q3
MT0010007882,Q3
MT0008636271,Q3
MT0014584473,Q3
MT0007525777,Q3
MT0026682960,Q3
MT0000832464,Q3
MT0004936799,Q3
MT0009464817,Q3
MT0003336370,Q3
MT0001862892,Q3
MT0031903528,Q3
MT0005761702,Q3
MT0001497786,Q3
MT0002510318,Q3
MT0002844771,Q3
MT0004514306,Q3
MT0005023904,Q3
MT0007113915,Q3
MT0011677264,Q3
MT0029133325,Q3
MT0030097307,Q3
MT0008428932,Q3
MT0003878494,Q3
MT0005404247,Q3
MT0026811443,Q3
MT0033319941,Q3
MT0008883788,Q3
MT0006713730,Q3
MT0006635536,Q3
MT0004476235,Q3
MT0005189351,Q3
MT0005330350,Q3
MT0005740567,Q3
MT0016469828,Q3
MT0011827018,Q3
MT0000661250,Q3
MT0012067911,Q3
MT0028915582,Q3
MT0013289749,Q3
MT0015929505,Q3
MT0005916227,Q3
MT0003501434,Q3
MT0005189820,Q3
MT0030968017,Q3
MT0004317784,Q3
MT0034094847,Q3
MT0027182657,Q3
MT0034800740,Q3
MT0008327012,Q3
MT0003402538,Q3
MT0009781899,Q3
MT0007477802,Q3
MT0026826094,Q3
MT0007051057,Q3
MT0005822463,Q3
MT0012459878,Q3
MT0012854734,Q3
MT0005083885,Q3
MT0011342337,Q3
MT0000320757,Q3
MT0003263304,Q3
MT0013260233,Q3
MT0002585767,Q3
MT0010363782,Q3
MT0009469599,Q3
MT0005593407,Q3
MT0002325544,Q3
MT0002477987,Q3
MT0001404677,Q3
MT0012317309,Q3
MT0004352104,Q3
MT0013649307,Q3
MT0013283837,Q3
MT0004184616,Q3
MT0001297031,Q3
MT0001256033,Q3
MT0011842354,Q3
MT0013458428,Q3
MT0008515901,Q3
MT0035974809,Q3
MT0029166572,Q3
MT0008905908,Q3
MT0009385684,Q3
MT0034549623,Q3
MT0000353361,Q3
MT0005723257,Q3
MT0006877397,Q3
MT0006846075,Q4
MT0034706827,Q4
MT0011910522,Q4
MT0009741774,Q4
MT0002803746,Q4
MT0013003902,Q4
MT0028242839,Q4
MT0001436086,Q4
MT0028587966,Q4
MT0018376280,Q4
MT0028293340,Q4
MT0001368531,Q4
MT0001323755,Q4
MT0004219321,Q4
MT0002960288,Q4
MT0003603497,Q4
MT0000066421,Q4
MT0001729778,Q4
MT0004180568,Q4
MT0031912859,Q4
MT0031024722,Q4
MT0030438262,Q4
MT0006324704,Q4
MT0005272837,Q4
MT0001144930,Q4
MT0002355423,Q4
MT0010723756,Q4
MT0003287931,Q4
MT0034225020,Q4
MT0005863380,Q4
MT0026972072,Q4
MT0009246394,Q4
MT0028798502,Q4
MT0002397625,Q4
MT0000460480,Q4
MT0033818006,Q4
MT0002858390,Q4
MT0011982393,Q4
MT0005118426,Q4
MT0000177878,Q4
MT0000335310,Q4
MT0026414107,Q4
MT0032405359,Q4
MT0012017035,Q4
MT0028425911,Q4
MT0033493473,Q4
MT0009795009,Q4
MT0003898980,Q4
MT0008740787,Q4
MT0010980499,Q4
MT0002054074,Q4
MT0007828167,Q4
MT0006137300,Q4
MT0002438908,Q4
MT0000277032,Q4
MT0011395375,Q4
MT0000707663,Q4
MT0005959692,Q4
MT0004098601,Q4
MT0015709701,Q4
MT0000848769,Q4
MT0000287606,Q4
MT0001267997,Q4
MT0030481692,Q4
MT0034138322,Q4
MT0001183783,Q4
MT0011358600,Q4
MT0033262254,Q4
MT0032723940,Q4
MT0026607275,Q4
MT0005827376,Q4
MT0005830128,Q4
MT0001168323,Q4
MT0010278984,Q4
MT0000754511,Q4
MT0003909575,Q4
MT0007412921,Q4
MT0000321824,Q4
MT0003510796,Q4
MT0034429136,Q4
MT0011302120,Q4
MT0032001427,Q4
MT0011650689,Q4
MT0007282148,Q4
MT0010545132,Q4
MT0015477550,Q4
MT0005158273,Q4
MT0008548050,Q4
MT0003028265,Q4
MT0034992958,Q4
MT0032778604,Q4
MT0004362501,Q4
MT0001313815,Q4
MT0031996487,Q4
MT0028758101,Q4
MT0014498396,Q4
MT0001954919,Q4
MT0014624309,Q4
MT0001121577,Q4
MT0002591418,Q4
MT0010100428,Q4
MT0010512527,Q4
MT0015032338,Q4
MT0001927474,Q4
MT0004262978,Q4
MT0013056573,Q4
MT0003655884,Q4
MT0003732702,Q4
MT0030006612,Q4
MT0007912800,Q4
MT0003081304,Q4
MT0003264792,Q4
MT0033987987,Q4
MT0014612093,Q4
MT0010534904,Q4
MT0011776369,Q4
MT0013923586,Q4
MT0010670378,Q4
MT0004962647,Q4
MT0003421433,Q4
MT0030499533,Q4
MT0030646708,Q4
MT0008750426,Q4
MT0002920876,Q4
MT0000825920,Q4
MT0028569169,Q4
MT0033061162,Q4
MT0006169551,Q4
MT0004925844,Q4
MT0010702898,Q4
MT0001377616,Q4
MT0004550458,Q4
MT0009740290,Q4
MT0001765726,Q4
MT0014826870,Q4
MT0003922883,Q4
MT0005198745,Q4
MT0004776609,Q4
MT0011818239,Q4
MT0031618741,Q4
MT0008307409,Q4
MT0007267489,Q4
MT0001042055,Q4
MT0004725201,Q4
MT0010582452,Q4
MT0034191542,Q4
MT0000920227,Q4
MT0004970058,Q4
MT0005775235,Q4
MT0001609615,Q4
MT0011374266,Q2
MT0030211400,Q2
MT0026719173,Q2
MT0005652563,Q2
MT0014859055,Q2
MT0003262589,Q2
MT0010715611,Q2
