Song,Quadrant
A001,Q4
A002,Q4
A003,Q3
A004,Q3
A005,Q1
A011,Q1
A013,Q2
A014,Q1
A017,Q4
A018,Q3
A019,Q1
A021,Q4
A023,Q2
A024,Q1
A025,Q2
A029,Q3
A030,Q4
A032,Q4
A034,Q3
A035,Q3
A038,Q3
A039,Q1
A042,Q1
A043,Q1
A045,Q3
A048,Q3
A051,Q2
A055,Q2
A060,Q3
A061-66,Q3
A064-116,Q1
A066-140,Q4
A067-104,Q4
A071-70,Q3
A073-143,Q3
A077-122,Q1
A078-173,Q4
A081-67,Q3
A082-93,Q2
A083-158,Q3
A084-75,Q3
A085-69,Q3
A088-136,Q4
A090-94,Q2
A092-96,Q1
A094-110,Q1
A096-68,Q3
A097-152,Q3
A101-111,Q1
A102-114,Q1
A103-99,Q2
A105-117,Q1
A106-100,Q3
A107-115,Q1
A114-120,Q1
A115-84,Q1
A117-76,Q3
A120-168,Q4
A126-77,Q3
A127-133,Q2
A128-109,Q1
A130-162,Q3
A134-142,Q4
A143-72,Q3
A145-134,Q4
A146-118,Q1
A148-102,Q1
A151-172,Q2
A152-108,Q1
A157-71,Q3
A160-149,Q1
A167,Q1
A168,Q4
A170,Q3
A171,Q3
A172,Q2
A174,Q2
A176,Q2
A178,Q4
A182,Q2
A183,Q2
A187,Q1
A188,Q3
A191,Q3
A195,Q3
A196,Q1
MT0000008995,Q3
MT0000026571,Q4
MT0000027422,Q3
MT0000038502,Q2
MT0000043184,Q3
MT0000048600,Q4
MT0000066236,Q2
MT0000082188,Q3
MT0000092637,Q3
MT0000093583,Q1
MT0000097948,Q4
MT0000105492,Q1
MT0000117176,Q4
MT0000119987,Q1
MT0000124779,Q3
MT0000135916,Q4
MT0000144160,Q4
MT0000145509,Q2
MT0000146966,Q1
MT0000147182,Q4
MT0000151451,Q4
MT0000151529,Q3
MT0000162219,Q3
MT0000169836,Q2
MT0000171421,Q3
MT0000171852,Q3
MT0000174580,Q1
MT0000177878,Q4
MT0000185453,Q3
MT0000192913,Q3
MT0000197431,Q1
MT0000225806,Q1
MT0000245808,Q1
MT0000252574,Q1
MT0000258223,Q4
MT0000258646,Q2
MT0000271454,Q1
MT0000277032,Q4
MT0000287606,Q4
MT0000289116,Q3
MT0000292000,Q4
MT0000293345,Q3
MT0000299291,Q3
MT0000312152,Q3
MT0000315363,Q1
MT0000315392,Q3
MT0000318206,Q2
MT0000318279,Q4
MT0000320757,Q3
MT0000321394,Q2
MT0000321824,Q4
MT0000335310,Q4
MT0000353361,Q3
MT0000369188,Q1
MT0000370694,Q4
MT0000380307,Q4
MT0000380971,Q3
MT0000398595,Q4
MT0000409922,Q4
MT0000419956,Q2
MT0000425270,Q2
MT0000426880,Q1
MT0000436815,Q4
MT0000441552,Q2
MT0000447539,Q4
MT0000460480,Q4
MT0000463371,Q2
MT0000475876,Q1
MT0000481304,Q4
MT0000487439,Q3
MT0000497520,Q1
MT0000518591,Q1
MT0000523576,Q4
MT0000526302,Q4
MT0000526867,Q3
MT0000547065,Q3
MT0000550961,Q4
MT0000556349,Q1
MT0000567692,Q3
MT0000570966,Q3
MT0000603561,Q3
MT0000604234,Q2
MT0000615489,Q1
MT0000619767,Q3
MT0000621840,Q1
MT0000630628,Q4
MT0000643201,Q3
MT0000647818,Q4
MT0000664362,Q1
MT0000672880,Q1
MT0000685324,Q3
MT0000685552,Q3
MT0000688115,Q3
MT0000688312,Q3
MT0000704913,Q1
MT0000712071,Q1
MT0000720686,Q3
MT0000721873,Q1
MT0000723464,Q4
MT0000724357,Q2
MT0000727738,Q3
MT0000741489,Q2
MT0000744293,Q2
MT0000747666,Q3
MT0000754511,Q4
MT0000763275,Q3
MT0000764951,Q3
MT0000778102,Q2
MT0000780401,Q3
MT0000783307,Q2
MT0000789330,Q2
MT0000807741,Q1
MT0000811092,Q4
MT0000811743,Q3
MT0000825920,Q4
MT0000829531,Q2
MT0000829765,Q3
MT0000848769,Q4
MT0000850050,Q3
MT0000850957,Q2
