Song_id,Quadrant,in_balanced_train,in_balanced_validate,in_balanced_test,in_complete_train,in_complete_validate,in_complete_test
A001,Q4,False,False,True,False,False,True
A002,Q4,True,False,False,False,False,True
A003,Q3,False,False,True,False,False,True
A004,Q3,False,False,True,True,False,False
A005,Q1,False,False,True,False,False,True
A010,Q2,False,False,True,False,False,True
A011,Q1,False,False,True,False,True,False
A013,Q2,False,False,True,False,False,True
A014,Q1,False,True,False,True,False,False
A017,Q4,False,False,True,False,False,True
A018,Q3,False,False,True,False,True,False
A019,Q1,False,False,True,False,True,False
A020,Q2,True,False,False,True,False,False
A021,Q4,False,True,False,False,False,True
A022,Q1,True,False,False,True,False,False
A023,Q2,False,True,False,False,False,True
A024,Q1,True,False,False,True,False,False
A025,Q2,False,False,True,False,False,True
A028,Q2,False,False,True,False,False,True
A029,Q3,False,False,True,True,False,False
A030,Q4,False,False,True,False,False,True
A032,Q4,False,False,True,False,False,True
A034,Q3,False,False,True,False,False,True
A035,Q3,False,False,True,False,False,True
A038,Q3,False,False,True,False,False,True
A039,Q1,False,False,True,False,False,True
A042,Q1,False,False,True,False,True,False
A043,Q1,True,False,False,False,True,False
A045,Q3,False,False,True,False,True,False
A047,Q1,True,False,False,True,False,False
A048,Q3,False,False,True,False,True,False
A049,Q2,False,False,True,False,False,True
A050,Q1,False,False,True,False,False,True
A051,Q2,False,True,False,False,True,False
A052,Q2,False,True,False,False,True,False
A055,Q2,False,False,True,False,False,True
A058,Q4,True,False,False,True,False,False
A060,Q3,False,False,True,False,False,True
A061-66,Q3,False,False,True,False,True,False
A062-170,Q2,False,False,True,False,False,True
A063-90,Q4,False,False,True,False,False,True
A064-116,Q1,False,False,True,False,True,False
A066-140,Q4,False,False,True,False,False,True
A067-104,Q4,False,True,False,False,False,True
A068-167,Q2,True,False,False,True,False,False
A071-70,Q3,False,False,True,False,True,False
A073-143,Q3,False,False,True,True,False,False
A074-91,Q2,False,False,True,False,False,True
A077-122,Q1,False,False,True,False,True,False
A078-173,Q4,False,False,True,False,False,True
A080-92,Q2,False,False,True,False,False,True
A081-67,Q3,False,False,True,False,True,False
A082-93,Q2,True,False,False,True,False,False
A083-158,Q3,False,True,False,False,False,True
A084-75,Q3,False,False,True,False,True,False
A085-69,Q3,False,False,True,False,False,True
A086-123,Q1,False,False,True,False,True,False
A087-165,Q2,False,False,True,False,False,True
A088-136,Q4,False,False,True,False,False,True
A090-94,Q2,False,False,True,True,False,False
A091-95,Q2,True,False,False,True,False,False
A092-96,Q1,False,True,False,False,False,True
A094-110,Q1,False,False,True,False,True,False
A095-113,Q1,False,False,True,True,False,False
A096-68,Q3,True,False,False,False,False,True
A097-152,Q3,False,False,True,False,False,True
A098-154,Q4,False,False,True,False,False,True
A100-124,Q1,False,False,True,False,True,False
A101-111,Q1,True,False,False,False,True,False
A102-114,Q1,False,False,True,False,False,True
A103-99,Q2,False,False,True,False,False,True
A104-119,Q1,False,False,True,False,True,False
A105-117,Q1,True,False,False,True,False,False
A106-100,Q3,False,True,False,False,False,True
A107-115,Q1,False,False,True,False,True,False
A109-138,Q4,True,False,False,True,False,False
A111-141,Q4,True,False,False,True,False,False
A114-120,Q1,False,False,True,False,True,False
A115-84,Q1,False,False,True,False,False,True
A116-135,Q2,True,False,False,True,False,False
A117-76,Q3,False,False,True,True,False,False
A119-151,Q4,True,False,False,True,False,False
A120-168,Q4,True,False,False,True,False,False
A126-77,Q3,True,False,False,True,False,False
A127-133,Q2,False,True,False,False,True,False
A128-109,Q1,True,False,False,False,False,True
A130-162,Q3,False,False,True,False,False,True
A131-101,Q2,True,False,False,True,False,False
A132-121,Q1,True,False,False,True,False,False
A134-142,Q4,False,False,True,False,False,True
A136-97,Q2,False,True,False,False,True,False
A137-153,Q4,False,False,True,False,False,True
A140-166,Q2,True,False,False,True,False,False
A141-139,Q4,True,False,False,True,False,False
A142-98,Q2,False,False,True,False,False,True
A143-72,Q3,False,True,False,False,False,True
A145-134,Q4,False,False,True,False,False,True
A146-118,Q1,False,False,True,False,True,False
A147-169,Q2,True,False,False,True,False,False
A148-102,Q1,True,False,False,False,False,True
